,Domestic production of solid biomass,Total imports of solid biomass,Total primary production of biogas,Domestic production of liquid biomass,Total production from forestry (forest wood),"Total production from other solid biomass (non-forest wood, straw, wood chips, logs…)","Biogas production from food waste, oil waste",Biogas production from solid / liquid manure (methanised livestock manure),Biogas production from methanised crop residues,Primary energy production from methanised intermediate crops,Biogas production from methanised grass and fodder crops,Biogas production from other sources,Total Final energy consumption in agriculture,Final energy consumption from solid fossil fuels (coal ...) in agriculture,Final energy consumption from solid biomass in agriculture,Final oil consumption in agriculture,Final energy consumption from gas grid / gas consumed locally in agriculture,Final electricity consumption in agriculture,Total CO2 emissions from agriculture,CO2 emissions from the use of soil improvers and fertilisers,CO2 emissions from energy combustion in agriculture,Total CH4 emissions from agriculture,CH4 emissions from enteric fermentation,CH4 emissions from livestock manure,"Other CH4 emissions from agriculture (rice, residue burning)",Total N2O emissions from agriculture,N2O emissions from livestock and livestock manure,N2O emissions from soils,"Other N2O emissions from agriculture (organic soils, residue burning)","Other GHG (HFC, PFC, SF6) emissions from agriculture",Total CO2 emissions from the LULUCF sector,CO2 emissions from LULUCF in forest,CO2 emissions from LULUCF in non-forest areas,Total CH4 emissions from the LULUCF sector,CH4 emissions from LULUCF in forest,CH4 emissions from LULUCF in non-forest areas,Total N2O emissions from the LULUCF sector,N2O emissions from LULUCF in forest,N2O emissions from LULUCF in non-forest areas,"Total other GHG (HFC, PFC, SF6) emissions from the LULUCF sector","Other GHG (HFC, PFC, SF6) emissions from LULUCF in forest","Other GHG (HFC, PFC, SF6) emissions from LULUCF in non-forest areas",Total net GHG emissions from non-energy sources in agriculture,Any general comment on Solagro figures?
FR,181.966440511906,-6.51084679710329,108.293364200195,25.3900006970034,82.5834423721537,99.3829981397519,2.27841670599459,11.4383213370239,27.8676887209086,52.3858840864511,12.653161531439,1.66989181837788,0.0,0.0,0.0,0.0,0.0,0.0,1.88723756268839,1.88723756268839,0.0,21.8815824053214,20.5663529472136,1.17091095810784,0.1443185,18.2268995811638,1.21190985049398,17.0005188506698,0.01447088,0.0,-60.0202995675866,-76.8760257222077,16.8557261546212,1.158997,0.5979945,0.5610025,2.6156056,0.3380363,2.2775693,0.0,0.0,0.0,-14.2499774184129,0.0
DE,174.8102142909,-7.15301216062014,91.1642601131624,37.5926297943858,57.9097690275785,116.900445263322,3.01771179347675,9.10351914583052,19.267360492561,33.2311028353503,8.76036078112488,17.784205064819,0.0,0.0,0.0,0.0,0.0,0.0,2.59104691264591,2.59104691264591,0.0,18.2570341715897,15.1370843220725,1.86660584951726,1.253344,16.6011685052599,1.90775369581766,14.4298189094422,0.2635959,0.0,-12.2123511344831,-44.8986247255247,32.6862735910416,0.84981125,0.00294325,0.846868,0.65991802,0.0516136,0.60830442,0.0,0.0,0.0,26.7466277250124,0.0
GB,75.212682751471,18.4958111151098,34.6209629114862,11.5450837210474,36.2244327795953,38.9882499718757,2.22769518154004,4.9816070529763,7.50495889534183,13.0424275481611,1.15026077416029,5.7140134593067,0.0,0.0,0.0,0.0,0.0,0.0,1.11162617794524,1.11162617794524,0.0,11.115865452754,9.93474582678951,1.18111962596453,0.0,8.40048564519806,1.36707690557127,7.03340873962679,0.0,0.0,-23.7987002459751,-26.5015499135356,2.70284966756047,0.02076,0.0,0.02076,1.13581806,0.10023826,1.0355798,0.0,0.0,0.0,-2.01414491007779,0.0
IT,133.614185902313,6.77856607459983,34.3593915617866,26.7017530872908,98.1589627106876,35.4552231916254,2.23961065477438,5.13165174875209,6.51276177188846,16.3558908061317,0.0,4.11947658023991,0.0,0.0,0.0,0.0,0.0,0.0,0.464725237941942,0.464725237941942,0.0,11.5028358046513,8.8650905722609,0.961273232390368,1.676472,6.86672530842503,1.05623207596778,5.80665499245724,0.00383824,0.0,-51.8074765467415,-49.7292118029632,-2.07826474377836,0.29075275,0.189765,0.10098775,0.556366,0.00070924,0.55565676,0.0,0.0,0.0,-32.1260714457233,0.0
ES,79.9844982823475,-3.13884800134435,45.9489851858542,4.92541338205384,49.7572972898919,30.2272009924556,1.54294264949634,6.89150655208357,8.01319879758613,28.5751701951886,0.387478037590457,0.538688953909032,0.0,0.0,0.0,0.0,0.0,0.0,0.494646656430388,0.494646656430388,0.0,10.847654897367,8.51940398721251,1.85664116015445,0.47160975,8.1870245532204,0.844367828403277,7.33634806481712,0.00630866,0.0,-38.4386553280972,-36.8019124147126,-1.63674291338463,0.180379,0.16782175,0.01255725,0.31931892,0.15477226,0.16454666,0.0,0.0,0.0,-18.4096313010794,0.0
PL,80.0407678955555,-3.78720503511375,42.8650961661849,23.4970728464122,32.6172595672234,47.4235083283321,1.42801987651637,4.65651118609474,9.54590065645348,26.5057368584868,0.155307336326615,0.573620252306886,0.0,0.0,0.0,0.0,0.0,0.0,0.845707891159009,0.845707891159009,0.0,8.12988171915008,7.63732599549905,0.468324223651035,0.0242315,10.1483096342108,1.01668049288184,9.12042136132895,0.01120778,0.0,-41.2737008684381,-37.8001696965805,-3.4735311718576,0.036363,0.034092,0.002271,1.09662212,0.00833804,1.08828408,0.0,0.0,0.0,-21.0168165039182,0.0
SE,111.345548184126,-6.61224670171872,11.9866898890421,11.2127772523604,5.40002732108319,105.945520863043,0.332444552975161,0.787979513194868,2.29102144776975,4.97719410629794,3.21688169823658,0.381168570567769,0.0,0.0,0.0,0.0,0.0,0.0,0.169579573091643,0.169579573091643,0.0,1.71362856842015,1.6370441984504,0.0765843699697449,0.0,1.92426348348172,0.165657813699502,1.75860566978222,0.0,0.0,-48.1196942740993,-42.8272991256059,-5.29239514849335,0.22052525,0.00164575,0.2188795,0.17658884,0.04080812,0.13578072,0.0,0.0,0.0,-43.9151085591058,0.0
NL,8.4202834735278,8.67422990631076,8.93736476314318,5.01948452765072,3.29735382966249,5.1229296438653,0.581734301568765,4.0681276700424,1.21476045805737,2.37279820331388,0.0,0.699944130160757,0.0,0.0,0.0,0.0,0.0,0.0,0.0668147937886218,0.0668147937886218,0.0,6.44797126697374,5.29634270753219,1.15162855944155,0.0,4.25309859585679,0.333533123354834,3.91956547250195,0.0,0.0,6.1405112805929,-2.4937770389234,8.6342883195163,0.00032675,0.000272,5.475e-05,0.12944524,0.00526566,0.12417958,0.0,0.0,0.0,17.038167927212,0.0
BE,15.6064481974919,7.56891125134089,6.77859755401761,4.16224655406168,5.41675580382111,10.1896923936707,0.427816946677611,1.74689235831514,1.5057026313752,2.21858476212374,0.381335542530124,0.498265312995793,0.0,0.0,0.0,0.0,0.0,0.0,0.166535371408465,0.166535371408465,0.0,3.00220036247993,2.62240154685304,0.379798815626892,0.0,2.55930244890808,0.326691252870898,2.23261119603718,0.0,0.0,-0.869085357562898,-3.35533079553503,2.48624543797214,0.0,0.0,0.0,0.15495404,2.086e-05,0.15493318,0.0,0.0,0.0,5.01390686523358,0.0
FI,149.412582123373,-21.3182332959431,8.35626112687571,1.10570925049978,46.17785372913,103.234728394243,0.182632098692155,0.53077424541694,1.41939229524061,4.29274909002617,1.68443675910994,0.246276638389896,0.0,0.0,0.0,0.0,0.0,0.0,0.344694577565434,0.344694577565434,0.0,1.30228274299368,1.16396246375398,0.136128279239704,0.002192,1.79835857523004,0.135692925357705,1.66198918987234,0.00067646,0.0,-33.563149100325,-41.0999199970718,7.53677089674686,0.07632325,0.0004125,0.07591075,0.15085952,0.01493278,0.13592674,0.0,0.0,0.0,-29.8906304345358,0.0
