,Total population,Total GHG emissions from non-energy sources,Total net GHG emissions from non-energy sources in agriculture,GHG emissions from non-energy sources in industry (process emissions),GHG emissions from non-energy sources in waste management,GHG emissions from non-energy sources in other sectors (industrial product use),Total final energy consumption,Final energy consumption from solid fossil fuels (coal ...),Final energy consumption from solid biomass,Final oil consumption,Final energy consumption from gas grid / gas consumed locally,Final electricity consumption,Final energy consumption from heating networks,Final energy consumption from ambient heat (heat pumps…),Final energy consumption from thermal solar,Any general comment on Demography?,Any general comment on GHG emissions?
FR,67971.7504854369,0.0,-25.5929872591985,8.49351046112428,6.07709742061892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DE,82669.724,0.0,21.3386791357745,19.0374767830608,7.39118770512342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GB,74669.9697955367,0.0,-7.37688827737086,6.92049062961668,6.67595990395115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,58125.032,0.0,-38.2827738115217,7.94009213777442,5.19673952072594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,49348.53,0.0,-20.4269352967332,5.68207878126509,4.41206563362803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PL,34102.204,0.0,-26.6489593143142,4.53457543640953,3.04894922501992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE,12254.064,0.0,-44.9115400244429,3.63657518253237,1.09558956764626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,18142.292,0.0,15.3144588290469,4.84621094879757,1.62203378800634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BE,11926.987,0.0,4.14739166266391,3.55119212917993,1.06634684873953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FI,5290.709,0.0,-31.1646037852519,3.19874370113885,0.473022303935426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,10530.251,0.0,-2.18555513854335,2.36178008564539,0.941469959704518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DK,6098.19,0.0,15.9524272094978,0.640002214424699,0.545216129565239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,9375.347,0.0,-5.62448167142603,1.36780865398396,0.838214356173074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RO,15502.837,0.0,-16.1182914674693,1.59467409000307,1.38605008804593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,9345.829,0.0,4.47660772466295,2.90495031599196,0.835575263309043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BG,5655.026,0.0,5.15002526595442,0.844395573028653,0.505594510553262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EE,1256.223,0.0,-2.88421282810113,0.159132403973154,0.11231415254868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR,9503.127,0.0,2.32507401099855,0.971119833884059,0.849638683233373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LV,1395.039,0.0,0.878942920137656,0.245210720442194,0.124725166676106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HU,9270.352,0.0,5.54946428192945,1.35317984268972,0.828827149883388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IE,6213.191,0.0,4.31975634259029,0.632796540625894,0.555497934513287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SK,5147.215,0.0,-5.46970015869195,1.26659856582074,0.460193047501003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LT,2137.939,0.0,-8.10849042610287,0.310076319161056,0.191145049076296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,3392.559,0.0,0.112998867767304,0.310478361282695,0.303315883450945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LU,769.048,0.0,-1.11272189285731,0.179314558414728,0.068757676295735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SI,2043.751,0.0,-4.53705035152446,0.379764723976186,0.182724055828875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CH,9959.383,0.0,8.38943712049111,0.956783136348634,0.890430808505121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO,6351.119,0.0,-98.5606250051502,1.86120735244848,0.567829555915485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
