,Domestic production of solid biomass,Total imports of solid biomass,Total primary production of biogas,Domestic production of liquid biomass,Total production from forestry (forest wood),"Total production from other solid biomass (non-forest wood, straw, wood chips, logs…)","Biogas production from food waste, oil waste",Biogas production from solid / liquid manure (methanised livestock manure),Biogas production from methanised crop residues,Primary energy production from methanised intermediate crops,Biogas production from methanised grass and fodder crops,Biogas production from other sources,Total Final energy consumption in agriculture,Final energy consumption from solid fossil fuels (coal ...) in agriculture,Final energy consumption from solid biomass in agriculture,Final oil consumption in agriculture,Final energy consumption from gas grid / gas consumed locally in agriculture,Final electricity consumption in agriculture,Total CO2 emissions from agriculture,CO2 emissions from the use of soil improvers and fertilisers,CO2 emissions from energy combustion in agriculture,Total CH4 emissions from agriculture,CH4 emissions from enteric fermentation,CH4 emissions from livestock manure,"Other CH4 emissions from agriculture (rice, residue burning)",Total N2O emissions from agriculture,N2O emissions from livestock and livestock manure,N2O emissions from soils,"Other N2O emissions from agriculture (organic soils, residue burning)","Other GHG (HFC, PFC, SF6) emissions from agriculture",Total CO2 emissions from the LULUCF sector,CO2 emissions from LULUCF in forest,CO2 emissions from LULUCF in non-forest areas,Total CH4 emissions from the LULUCF sector,CH4 emissions from LULUCF in forest,CH4 emissions from LULUCF in non-forest areas,Total N2O emissions from the LULUCF sector,N2O emissions from LULUCF in forest,N2O emissions from LULUCF in non-forest areas,"Total other GHG (HFC, PFC, SF6) emissions from the LULUCF sector","Other GHG (HFC, PFC, SF6) emissions from LULUCF in forest","Other GHG (HFC, PFC, SF6) emissions from LULUCF in non-forest areas",Total net GHG emissions from non-energy sources in agriculture,Any general comment on Solagro figures?
FR,135.34216637074,-6.37412516747617,14.9350629149342,35.5310585990949,69.1974526078645,66.1447137628754,0.138980968975818,0.697725301387483,1.69989904452428,3.19548259624073,0.77182924687136,8.43114575693449,0.0,0.0,0.0,0.0,0.0,0.0,1.88401348119176,1.88401348119176,0.0,37.7524357068355,33.8425119574373,3.76560524939824,0.1443185,34.2543910457545,2.52652586308333,31.7133943026712,0.01447088,0.0,-45.9885110254658,-61.9808431805556,15.9923321550898,1.158997,0.5979945,0.5610025,2.6156056,0.3380363,2.2775693,0.0,0.0,0.0,31.676931808316,0.0
DE,146.9288504099,-7.00280566524112,94.2670857702705,33.065765899276,58.6347471630901,88.2941032468099,0.184077174313059,0.555304878448534,1.17528827093707,2.02706153797092,0.534372587216002,89.7909813213849,0.0,0.0,0.0,0.0,0.0,0.0,2.69201248433755,2.69201248433755,0.0,31.080392332825,23.8521508944234,5.97489743840153,1.253344,29.2208531888112,3.69750060420977,25.2597566846014,0.2635959,0.0,-15.8600227367507,-57.1323115606312,41.2722888238805,0.84981125,0.00294325,0.846868,0.65991802,0.0516136,0.60830442,0.0,0.0,0.0,48.642964539223,0.0
GB,55.5000072156893,18.1074165612618,30.6128744645227,11.0695447293949,32.373155720903,23.1268514947863,0.135887010527358,0.30387267327255,0.457794422176593,0.795574055295147,0.0701646702936572,28.8495816329574,0.0,0.0,0.0,0.0,0.0,0.0,1.1465672455993,1.1465672455993,0.0,20.6836002798739,16.743318369137,3.94028191073686,0.0,13.7233024410269,2.76133739769221,10.9619650433347,0.0,0.0,-17.0108883293368,-24.3024506702389,7.2915623409022,0.02076,0.0,0.02076,1.13581806,0.10023826,1.0355798,0.0,0.0,0.0,19.6991596971634,0.0
IT,91.8922780718298,6.63622259315488,22.6434990311848,22.9555152541191,84.8163214413681,7.07595663046176,0.136613841581378,0.313025238364675,0.397271464602697,0.997691750906718,0.0,20.7988967357293,0.0,0.0,0.0,0.0,0.0,0.0,0.464552144416231,0.464552144416231,0.0,18.0930514144734,13.3896087331531,3.0269706813203,1.676472,10.5239575999701,2.06848010300428,8.45163925696582,0.00383824,0.0,-37.1267723914236,-39.8648419860073,2.73806959458373,0.29075275,0.189765,0.10098775,0.556366,0.00070924,0.55565676,0.0,0.0,0.0,-7.19809248256385,0.0
ES,64.2841249824622,-3.07293515970191,5.48977523829771,12.5308278190545,46.9644489685637,17.3196760138985,0.094117842419659,0.420374488912322,0.488796509678956,1.74305465366688,0.0236357436194544,2.71979600000044,0.0,0.0,0.0,0.0,0.0,0.0,0.494910246774118,0.494910246774118,0.0,19.4844627018942,13.1799684597659,5.83288449212824,0.47160975,11.5433123103598,1.68667244312301,9.85033120723679,0.00630866,0.0,-42.2641173530174,-38.1489742533377,-4.11514309967968,0.180379,0.16782175,0.01255725,0.31931892,0.15477226,0.16454666,0.0,0.0,0.0,-10.2417341739893,0.0
PL,78.9158869894522,-3.70767730849558,5.47589579088439,6.46527523475247,32.9959060775059,45.9199809119463,0.0871076768498046,0.284042174983824,0.582289674882655,1.61682144548816,0.00947358050655792,2.89616123817339,0.0,0.0,0.0,0.0,0.0,0.0,0.866835489386104,0.866835489386104,0.0,13.4004508857438,11.875423782211,1.50079560353282,0.0242315,15.5367976027035,1.95328511270893,13.5723047099946,0.01120778,0.0,-29.1498049180735,-31.1221546023234,1.97234968424992,0.036363,0.034092,0.002271,1.09662212,0.00833804,1.08828408,0.0,0.0,0.0,1.78726417975995,0.0
SE,111.031648100278,-6.47339576992322,2.63241292567841,13.5236229797832,5.0861272372354,105.945520863043,0.020278760238045,0.0480659029530378,0.139749844669624,0.303603488270622,0.196226324326537,1.92448860522054,0.0,0.0,0.0,0.0,0.0,0.0,0.144211470186943,0.144211470186943,0.0,2.83557022927544,2.59084116214734,0.244729067128094,0.0,3.3651105815759,0.326970147731161,3.03814043384474,0.0,0.0,-46.6226462924951,-42.0969628076181,-4.52568348487701,0.22052525,0.00164575,0.2188795,0.17658884,0.04080812,0.13578072,0.0,0.0,0.0,-39.8806399214568,0.0
NL,5.43702400891832,8.49207927590754,4.03643385598723,2.60739309385051,3.08892600054216,2.34809800837617,0.0354851668291312,0.248151413221411,0.0740990816518015,0.144738138819381,0.0,3.5339600554655,0.0,0.0,0.0,0.0,0.0,0.0,0.0702231669443877,0.0702231669443877,0.0,11.3696676851306,7.76912766350209,3.60054002162855,0.0,5.94353519174161,0.614007802265302,5.32952738947631,0.0,0.0,6.5041255492486,-2.24844865167334,8.75257420092193,0.00032675,0.000272,5.475e-05,0.12944524,0.00526566,0.12417958,0.0,0.0,0.0,24.0173235830652,0.0
BE,15.9332076660167,7.40997126810449,2.89879389162933,5.17738601133929,5.15341094650034,10.7797967195163,0.0260963736954233,0.106558555340784,0.0918462413602322,0.135331284739831,0.0232610580260912,2.51570037846697,0.0,0.0,0.0,0.0,0.0,0.0,0.173036468910998,0.173036468910998,0.0,5.55434015383136,4.36222988006599,1.19211027376538,0.0,3.94866133350241,0.683842647296245,3.26481868620617,0.0,0.0,-1.30863670236719,-3.20750060210194,1.89886389973475,0.0,0.0,0.0,0.15495404,2.086e-05,0.15493318,0.0,0.0,0.0,8.52235529387758,0.0
FI,117.497838515185,-20.8705705436435,1.73813072263159,2.61850266073719,49.503552816929,67.9942856982558,0.0111403616272392,0.0323766582036421,0.0865814036696317,0.261853078294324,0.102748830950742,1.24343038988601,0.0,0.0,0.0,0.0,0.0,0.0,0.30775838098202,0.30775838098202,0.0,2.28578778088628,1.85230592183251,0.431289859053773,0.002192,3.55150968258427,0.269824247234514,3.28100897534976,0.00067646,0.0,-31.1046562591846,-38.7916512365633,7.68699497737874,0.07632325,0.0004125,0.07591075,0.15085952,0.01493278,0.13592674,0.0,0.0,0.0,-24.732417644732,0.0
