,Domestic production of solid biomass,Total imports of solid biomass,Total primary production of biogas,Domestic production of liquid biomass,Total production from forestry (forest wood),"Total production from other solid biomass (non-forest wood, straw, wood chips, logs…)","Biogas production from food waste, oil waste",Biogas production from solid / liquid manure (methanised livestock manure),Biogas production from methanised crop residues,Primary energy production from methanised intermediate crops,Biogas production from methanised grass and fodder crops,Biogas production from other sources,Total Final energy consumption in agriculture,Final energy consumption from solid fossil fuels (coal ...) in agriculture,Final energy consumption from solid biomass in agriculture,Final oil consumption in agriculture,Final energy consumption from gas grid / gas consumed locally in agriculture,Final electricity consumption in agriculture,Total CO2 emissions from agriculture,CO2 emissions from the use of soil improvers and fertilisers,CO2 emissions from energy combustion in agriculture,Total CH4 emissions from agriculture,CH4 emissions from enteric fermentation,CH4 emissions from livestock manure,"Other CH4 emissions from agriculture (rice, residue burning)",Total N2O emissions from agriculture,N2O emissions from livestock and livestock manure,N2O emissions from soils,"Other N2O emissions from agriculture (organic soils, residue burning)","Other GHG (HFC, PFC, SF6) emissions from agriculture",Total CO2 emissions from the LULUCF sector,CO2 emissions from LULUCF in forest,CO2 emissions from LULUCF in non-forest areas,Total CH4 emissions from the LULUCF sector,CH4 emissions from LULUCF in forest,CH4 emissions from LULUCF in non-forest areas,Total N2O emissions from the LULUCF sector,N2O emissions from LULUCF in forest,N2O emissions from LULUCF in non-forest areas,"Total other GHG (HFC, PFC, SF6) emissions from the LULUCF sector","Other GHG (HFC, PFC, SF6) emissions from LULUCF in forest","Other GHG (HFC, PFC, SF6) emissions from LULUCF in non-forest areas",Total net GHG emissions from non-energy sources in agriculture,Any general comment on Solagro figures?
FR,156.091920424595,-6.43497201690948,56.4834157040766,31.017863247738,75.1547784964231,80.9371419281716,1.09111944565768,5.47774022358209,13.3456610412472,25.0872707588161,6.05951956008595,5.42210467468764,0.0,0.0,0.0,0.0,0.0,0.0,1.88544833244333,1.88544833244333,0.0,30.6892415081624,27.9340653528223,2.61085765534012,0.1443185,27.1214863063993,1.94146669725272,25.1655487291466,0.01447088,0.0,-52.2332444084062,-68.609823041792,16.3765786333858,1.158997,0.5979945,0.5610025,2.6156056,0.3380363,2.2775693,0.0,0.0,0.0,11.2375343385988,0.0
DE,159.337224671452,-7.06965384451721,92.8861984440239,35.0804098629419,58.3121015394662,101.025123131986,1.44516321820756,4.3596181233216,9.22701788685877,15.9141663633794,4.19528173846044,57.7449511137961,0.0,0.0,0.0,0.0,0.0,0.0,2.64707857771704,2.64707857771704,0.0,25.3734610638362,19.9735813880814,4.14653567575474,1.253344,23.6045651447751,2.90098829700809,20.439980947767,0.2635959,0.0,-14.2366561533457,-51.6878087200772,37.4511525667316,0.84981125,0.00294325,0.846868,0.65991802,0.0516136,0.60830442,0.0,0.0,0.0,38.8981779029827,0.0
GB,64.2729731576891,18.2802683989934,32.3966416337184,11.2811794905052,34.0871352569525,30.1858379007367,1.06682922626974,2.38566031921503,3.59407766280157,6.2459366098125,0.550852657883614,18.5532851577359,0.0,0.0,0.0,0.0,0.0,0.0,1.13101700758368,1.13101700758368,0.0,16.4255577007198,13.7132185270721,2.7123391736477,0.0,11.3544261116545,2.14083310392192,9.21359300773259,0.0,0.0,-20.0317488237571,-25.2811419052009,5.24939308144384,0.02076,0.0,0.02076,1.13581806,0.10023826,1.0355798,0.0,0.0,0.0,10.0358300562009,0.0
IT,110.460273865587,6.69957140202233,27.8575617272674,24.6227479370388,90.7543554347541,19.7059184308324,1.0725354715391,2.4575157813208,3.11892069415873,7.83273334621803,0.0,13.3758564340308,0.0,0.0,0.0,0.0,0.0,0.0,0.464629178282237,0.464629178282237,0.0,15.1601295495312,11.376008719425,2.10764883010617,1.676472,8.8963361095505,1.61798735026109,7.27451051928941,0.00383824,0.0,-43.660300390979,-44.2548995551263,0.594599164147327,0.29075275,0.189765,0.10098775,0.556366,0.00070924,0.55565676,0.0,0.0,0.0,-18.292086803615,0.0
ES,71.2714484427687,-3.10226913386589,23.4958176076274,9.14609997176205,48.2073834022842,23.0640650404845,0.73890554083922,3.30029918981536,3.83747055881522,13.6844694743132,0.185560797753925,1.74911204609053,0.0,0.0,0.0,0.0,0.0,0.0,0.494792938035181,0.494792938035181,0.0,15.640721623765,11.1058221413735,4.06328973239149,0.47160975,10.0496237376702,1.31181162403671,8.73150345363348,0.00630866,0.0,-40.5616265878181,-37.5494753364822,-3.01215125133592,0.180379,0.16782175,0.01255725,0.31931892,0.15477226,0.16454666,0.0,0.0,0.0,-13.8767903683477,0.0
PL,79.4165060890837,-3.74307047650057,22.1156553656677,14.0451382577554,32.8273925272912,46.5891135617925,0.683869746896245,2.22997395107871,4.57147184936309,12.6934308512085,0.0743757076014305,1.86253325951972,0.0,0.0,0.0,0.0,0.0,0.0,0.85743282360661,0.85743282360661,0.0,11.0548269388802,9.98929282681632,1.0413026120639,0.0242315,13.1386948519808,1.53645684320548,11.5910302287753,0.01120778,0.0,-34.5454462182021,-34.0941509138203,-0.451295304381797,0.036363,0.034092,0.002271,1.09662212,0.00833804,1.08828408,0.0,0.0,0.0,-8.36150648373446,0.0
SE,111.171346779932,-6.5351902479709,6.79545781842585,12.495199880793,5.22582591688895,105.945520863043,0.159205607736198,0.377358438149039,1.0971557773007,2.38354698677644,1.54054443425178,1.23764657421169,0.0,0.0,0.0,0.0,0.0,0.0,0.15550133808905,0.15550133808905,0.0,2.3362592168394,2.16636157981426,0.169897637025139,0.0,2.72387329766358,0.255179405276366,2.46869389238721,0.0,0.0,-47.288895322583,-42.4219930467798,-4.86690227580322,0.22052525,0.00164575,0.2188795,0.17658884,0.04080812,0.13578072,0.0,0.0,0.0,-41.676147379991,0.0
NL,6.76469937351615,8.57314393270365,6.21755330141865,3.68087477112501,3.18168511093884,3.58301426257731,0.278588902099315,1.94820078193892,0.581741151263127,1.13631815174355,0.0,2.27270431437374,0.0,0.0,0.0,0.0,0.0,0.0,0.0687062981886024,0.0687062981886024,0.0,9.1793067178952,6.668634827751,2.5106718901442,0.0,5.19122013152116,0.489184827260793,4.70203530426037,0.0,0.0,6.34230197592638,-2.3576300553871,8.69993203131348,0.00032675,0.000272,5.475e-05,0.12944524,0.00526566,0.12417958,0.0,0.0,0.0,20.9113071135313,0.0
BE,15.7877860217862,7.48070621513002,4.62546896067287,4.72560645108065,5.27061043370756,10.5171755880787,0.204878847874348,0.836575775016719,0.721071530132701,1.06246630365024,0.182619195461617,1.61785730853724,0.0,0.0,0.0,0.0,0.0,0.0,0.170143208334988,0.170143208334988,0.0,4.41853109391418,3.58793342880558,0.830597665108594,0.0,3.33033846030154,0.524895323593588,2.80544313670795,0.0,0.0,-1.11301795083198,-3.27329122752129,2.16027327668931,0.0,0.0,0.0,0.15495404,2.086e-05,0.15493318,0.0,0.0,0.0,6.96094885171873,0.0
FI,131.701235624526,-21.0697992111218,4.68347583982575,1.94524625567922,48.0234774827796,83.677758141746,0.0874613646221906,0.254184451380196,0.679738052428676,2.05577056871703,0.806666180953567,0.799655221724094,0.0,0.0,0.0,0.0,0.0,0.0,0.324196534903091,0.324196534903091,0.0,1.84808686172108,1.5459642634838,0.299930598237277,0.002192,2.77128403903425,0.210130193200869,2.56047738583339,0.00067646,0.0,-32.1987885054555,-39.8189274773844,7.62013897192887,0.07632325,0.0004125,0.07591075,0.15085952,0.01493278,0.13592674,0.0,0.0,0.0,-27.0280382997971,0.0
CZ,37.0980604516529,-1.75308056446779,10.2067472280384,3.74852806786871,7.1497756788662,29.9482847727867,0.162835407294576,0.420213768357678,1.56292244577018,3.42050360236594,0.353092804819377,4.28717919943069,0.0,0.0,0.0,0.0,0.0,0.0,0.259164623338909,0.259164623338909,0.0,2.70759250447091,2.2318610512152,0.475731453255709,0.0,3.15641639147333,0.614638998261593,2.54177739321174,0.0,0.0,-6.27746553927469,-5.19329685730162,-1.08416868197307,0.031663,0.031663,0.0,0.0258664,0.02087788,0.00498852000000001,0.0,0.0,0.0,-0.096762619991539,0.0
DK,13.342822434497,22.348659360476,6.67587527488892,3.52668956926069,6.24668526045291,7.09613717404408,0.104362359721303,0.924544366688681,1.4269945589532,2.66203732204542,0.0,1.5579366674803,0.0,0.0,0.0,0.0,0.0,0.0,0.247168727918617,0.247168727918617,0.0,4.16544303324836,2.92441564391685,1.2379663893315,0.003061,3.8729394685939,0.577410478166842,3.29458433042706,0.00094466,0.0,6.67214202143105,3.10112829214058,3.57101372929047,0.02812525,0.0,0.02812525,0.01015882,0.0,0.01015882,0.0,0.0,0.0,14.9959773211919,0.0
PT,29.4572637339987,-1.36135952669845,2.69632435384004,2.7405177363764,7.44032001947797,22.0169437145207,0.181779812209729,0.539080636488643,0.254280443193384,1.14837066708259,0.0,0.572812794865698,0.0,0.0,0.0,0.0,0.0,0.0,0.0342257438735318,0.0342257438735318,0.0,3.469590431772,2.83173195477565,0.464203726996352,0.17365475,1.89376805935541,0.130683834921107,1.7464588044343,0.01662542,0.0,-9.22126426491543,-9.14203210861385,-0.0792321563015781,0.14088125,0.06658475,0.0742965,0.35563022,0.03464846,0.32098176,0.0,0.0,0.0,-3.32716855991449,0.0
RO,43.5414811368475,-1.97836734500906,19.1103421611606,3.9306469307212,20.4970356582063,23.0444454786411,0.394535482408838,1.62964378506565,3.42157219262995,13.5383293502576,0.0,0.126261350798541,0.0,0.0,0.0,0.0,0.0,0.0,0.089603304652762,0.089603304652762,0.0,9.49495866560229,7.92217961573576,1.12425429986653,0.44852475,4.93466789078663,0.510742666319791,4.26056758446683,0.16335764,0.0,-26.6412488833407,-21.4695116035071,-5.17173727983369,0.00109875,0.00109875,0.0,1.99085456,0.00036058,1.99049398,0.0,0.0,0.0,-10.1300657122991,0.0
AT,62.9330932518542,-2.73687431348629,5.82631512846707,4.78430237762046,25.0349880742791,37.8981051775751,0.154879165241744,0.575086038750326,0.904580871231324,1.95829849194292,0.0,2.23347056130075,0.0,0.0,0.0,0.0,0.0,0.0,0.106784305517803,0.106784305517803,0.0,3.63051513946178,3.33952457940557,0.290422810056214,0.00056775,1.99979862237555,0.33000459497232,1.66969568740323,9.834e-05,0.0,-2.54973168471176,-1.702913167998,-0.846818516713763,0.0241095,0.00032275,0.02378675,0.1203771,0.02419462,0.09618248,0.0,0.0,0.0,3.33185298264337,0.0
BG,14.6859365789572,-0.706355853281785,8.1841717871283,1.82638711802757,6.84733636536836,7.83860021358886,0.116697099588515,0.338934991035016,1.67454495705336,5.54432523483747,0.0816649256358374,0.428004578978106,0.0,0.0,0.0,0.0,0.0,0.0,0.0372086,0.0372086,0.0,1.50131222757654,1.30671830518484,0.0772389223917003,0.117355,3.43351935467725,0.383941936593708,3.04925313483996,0.00694936,0.0,-3.93439665717175,-2.83600010699835,-1.09839655017341,0.01277175,0.01277175,0.0,0.50848038,0.1546322,0.35384818,0.0,0.0,0.0,1.55889565508203,0.0
EE,11.638663653487,-0.530207423166565,0.881535745062667,0.18112467766245,2.32629964318249,9.31236401030449,0.0232102528120381,0.0825991920126897,0.159274342635528,0.540124474351316,0.0,0.0763274832510955,0.0,0.0,0.0,0.0,0.0,0.0,0.00627741837308267,0.00627741837308267,0.0,0.495006477132803,0.439031138308914,0.0559753388238893,0.0,0.560404871720661,0.0472287254404789,0.513176146280182,0.0,0.0,-2.80228439387524,-3.05431903401613,0.252034640140887,6.325e-05,2.75e-06,6.05e-05,0.01746578,0.00066454,0.01680124,0.0,0.0,0.0,-1.7230665966487,0.0
GR,11.5719421707401,-0.578830350450524,6.56387803940956,1.5929119905759,10.144911426084,1.42703074465603,0.17889231134867,1.34858241256084,0.739317086001238,2.08519218148861,1.48642628664231,0.725467761367889,0.0,0.0,0.0,0.0,0.0,0.0,0.02600675,0.02600675,0.0,4.21724768547529,3.58963583343712,0.451196602038161,0.17641525,3.04005499444349,0.249705008751841,2.77932696569165,0.01102302,0.0,-3.5249975012263,-2.37788176306133,-1.14711573816497,0.01080875,0.004254,0.00655475,0.01551984,0.00034866,0.01517118,0.0,0.0,0.0,3.78464051869248,0.0
LV,28.4460868435864,-3.4783498000851,2.68648306765899,0.456157620570038,5.20453169944019,23.2415551441462,0.0367041587059699,0.13368900315753,0.402398071668663,1.20016492810017,0.272233378524463,0.641293527502195,0.0,0.0,0.0,0.0,0.0,0.0,0.0173670839283575,0.0173670839283575,0.0,0.72621341692681,0.665741401673146,0.0604720152536641,0.0,1.18653630660673,0.066779467164563,1.11975683944216,0.0,0.0,2.68295982039941,2.52927758317238,0.153682237227031,0.2531645,0.01281275,0.24035175,0.03949692,0.00150192,0.037995,0.0,0.0,0.0,4.9057380478613,0.0
HU,31.1335489688417,1.37072502387844,10.7769460662639,4.40633651523326,19.852107185918,11.2814417829237,0.160471408399801,0.430758327313289,2.54822662653497,7.004881175717,0.000588433341195715,0.632020094957669,0.0,0.0,0.0,0.0,0.0,0.0,0.17373063920073,0.17373063920073,0.0,2.01422356246252,1.58739777736618,0.408998535096338,0.01782725,3.07127744546812,0.362575513696686,2.70870193177143,0.0,0.0,-2.59546858313368,-4.98967229880681,2.39420371567313,0.01808175,0.0173275,0.000754250000000003,0.05265958,0.01828528,0.0343743,0.0,0.0,0.0,2.73450439399769,0.0
IE,5.93052811356584,-1.20382252263745,5.76627501583,0.953818136404277,1.00501314989082,4.92551496367502,0.0851905451855106,1.88051261138992,0.403035271478654,0.645243149689121,2.35068247481234,0.401610963274456,0.0,0.0,0.0,0.0,0.0,0.0,0.52367330252847,0.52367330252847,0.0,9.67067641488278,8.81860342021168,0.8520729946711,0.0,5.68427602354307,0.397957370286804,5.28631865325627,0.0,0.0,-0.887953573663558,-5.41037713030201,4.52242355663845,0.3308945,0.004342,0.3265525,0.16482082,0.00030098,0.16451984,0.0,0.0,0.0,15.4863874872908,0.0
SK,11.9262995604402,-0.452447787320975,4.52942714003819,1.51137518678687,2.36490280668276,9.56139675375742,0.0937332883078958,0.193249681521388,0.775355509977207,2.08123616696906,0.303000908448026,1.08285158481461,0.0,0.0,0.0,0.0,0.0,0.0,0.0681903955465142,0.0681903955465142,0.0,0.927254472947433,0.821208714524794,0.106045758422639,0.0,1.09717121985585,0.13550903195413,0.961662187901719,0.0,0.0,-6.83117834664556,-4.07729849108084,-2.75387985556472,0.023053,0.023053,0.0,0.03302734,0.01520098,0.01782636,0.0,0.0,0.0,-4.68248191829576,0.0
LT,20.2304541680711,-0.961949092935038,4.02054324518219,1.11294332907255,7.07803721753533,13.1524169505358,0.0564617889555127,0.246844113490473,0.865790700143104,2.42382385998362,0.199353673821152,0.228269108788323,0.0,0.0,0.0,0.0,0.0,0.0,0.0328479210283717,0.0328479210283717,0.0,1.46532886332304,1.279748764487,0.185580098836041,0.0,1.89848243505115,0.145957440093821,1.75252499495733,0.0,0.0,-8.06992969921353,-9.82396586598115,1.75403616676762,0.00130275,0.00011,0.00119275,0.10952096,7.152e-05,0.10944944,0.0,0.0,0.0,-4.56244676981097,0.0
HR,16.7603115038474,-0.765484099764889,2.62437712477481,0.589898688978703,8.51871583901368,8.24159566483374,0.0737724357533214,0.172989624985791,0.550674981142287,1.44085125287046,0.0536719403499554,0.332416889672995,0.0,0.0,0.0,0.0,0.0,0.0,0.0744381792626748,0.0744381792626748,0.0,1.24445384427925,0.960806388679521,0.283647455599724,0.0,0.954182928277412,0.124379147379737,0.829803780897675,0.0,0.0,-3.89600593795758,-3.92445137511546,0.0284454371578778,0.013964,0.009821,0.004143,0.11104076,0.00647554,0.10456522,0.0,0.0,0.0,-1.49792622613825,0.0
LU,0.884172381608174,-0.0129997586709765,0.324228260561165,0.675302476181868,0.329563042849335,0.554609338758839,0.0104137405415606,0.0417641650854505,0.0421135634499209,0.0879819394564944,0.0,0.141954852027738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.693390629626466,-0.653143638660743,-0.0402469909657235,0.0,0.0,0.0,0.01079356,0.0,0.01079356,0.0,0.0,0.0,-0.682597069626466,0.0
SI,9.15939266465905,-0.292866868000282,0.815895732425904,0.246083157456485,2.16288224237915,6.9965104222799,0.0362141933587309,0.121554537318139,0.100239471476381,0.265967191067374,0.0764913677862996,0.21542897141898,0.0,0.0,0.0,0.0,0.0,0.0,0.022093128054978,0.022093128054978,0.0,0.910624834147284,0.750344815603736,0.160280018543548,0.0,0.426732463014746,0.0739861270227807,0.352746335991966,0.0,0.0,-5.17907493783894,-5.27651687043309,0.0974419325941423,0.0002425,0.0002425,0.0,0.02751434,0.00016092,0.02735342,0.0,0.0,0.0,-3.79186767262193,0.0
CH,0.0,0.0,1.36645482876493,0.485313496151283,0.0,0.0,0.133262631609345,0.636110688381424,0.209207213430627,0.387874295343534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0828157392603731,0.0828157392603731,0.0,6.26195529440949,5.27164244040385,0.99031285400564,0.0,2.68488107917443,0.488672675567896,2.19620840360654,0.0,0.0,-0.0484961315978163,-3.1177450790455,3.06924894744769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.98115598124648,0.0
